reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0c048315-5a2f-4951-8f73-9b08304e7be5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,333.12 - Stable,2026-06-20 07:27:30,,,333.12 - Stable
e04c63df-aec3-47af-9d99-2c403615e7cf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Very Good,5,0,332.12 - Stable,2026-06-20 07:15:14,,,332.12 - Stable
af1e2891-9b20-4ff7-8995-de4f9625bb68,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"dr waktu itu nyoba gbs trs, pdhl pw dll udh bnr gjls bgt bikin emosi trs, 3-4 kali nyoba gbs trs sampe kena limit ktnya gjls tau ga, udh bne pw dll mlh gbs",1,0,333.12 - Stable,2026-06-20 07:06:53,"Jika terkena limit saat login, tunggu 24-48 jam sebelum mencoba lagi. Pastikan password benar dan gunakan fitur reset jika perlu. Untuk bantuan lebih lanjut, kunjungi dis.gd/contact. Kami siap membantu agar akun Anda bisa diakses kembali.",2026-06-20 07:35:32,333.12 - Stable
91a87685-e9e6-42f1-9626-f9a9ddba5e89,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"bad in system from dev. i have account got hacked, then i cant logged in. when i want reset my password, my passkey doesnt work just for discord. with other apps is still work. fix that trouble, bcause it's weird situation... not just me, there are many out there who are the same as that",1,0,333.12 - Stable,2026-06-20 07:01:32,"If your passkey isn’t working for Discord, try deleting and re-enrolling your passkey in your password manager and Discord account. If your account was hacked, visit dis.gd/hackedaccount for recovery steps. For password reset help, see dis.gd/contact.",2026-06-20 07:23:26,333.12 - Stable
602cfc5d-8555-4118-af1d-f24b011c12d6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus banyak link/key buat skrip di game Roblox,5,0,,2026-06-20 06:33:12,,,
298a3513-aa7c-4211-9fe7-0d4e3d6795d2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,discord gak jelas,1,0,333.12 - Stable,2026-06-20 05:43:04,"Terima kasih atas ulasan Anda. Jika Anda mengalami masalah atau butuh bantuan lebih lanjut, silakan kunjungi dis.gd/contact untuk dukungan langsung dari tim kami. Kami siap membantu Anda agar pengalaman Discord lebih baik.",2026-06-20 06:13:31,333.12 - Stable
f5e30b10-ef5e-4722-ad8c-33514018e59b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pelayanan sampah,saya tidak.bisa mengajukan reffund discord nitro,saya sudah mencoba lagi di discord support dan memasukkan email serta sandi yang benar,tetapi saya tidak bisa masuk dengan alasan email atau password salah dan juga tunggu beberapa saat lagi.Dan setiap saya coba mereset sandi tidak ada email yang dikirimkan ke email saya.Saya sangat kecewa dengan pelayanan seperti ini seolah-olah pengguna tidak bisa mengajukan reffund untuk discord nitro.Jadi aplikasi seperti perampok",1,0,,2026-06-20 04:25:55,"Pastikan email yang digunakan benar dan cek folder spam untuk email reset. Jika tetap tidak menerima email, silakan ajukan refund dan bantuan lebih lanjut di dis.gd/contact. Kami siap membantu proses refund Nitro dan pemulihan akun Anda.",2026-06-20 04:53:34,
145128ad-1b46-45a4-b6d9-fe341e50a2fe,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"hi saya cuman mau ngasih tau, sebulan lalu pakai nitro trial, dan itu gratis selama sebulan. tapi aneh nya setelah membatalkan berlangganan pada nitro tersebut, disitu tertulis bahwa nitro nya masih aktif dan tidak bisa di nonaktifkan lagi padahal sudah saya batalkan, dan saya harus membayar tepat 23 Juni, saya merasa kecewa dan di tipu oleh aplikasi ini sendiri. mohon untuk perbaikan nya🙏",1,0,333.12 - Stable,2026-06-20 03:34:01,,,333.12 - Stable
0892a89c-678b-4c8f-b038-41837d9ee285,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi nya seru dan mudah dipahami dan bisa join server secara bebas, patut di bintang 5 kan",5,0,331.14 - Stable,2026-06-20 03:03:12,,,331.14 - Stable
815fbd91-0b7a-400c-91d4-45af90df6eae,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Discord is an outstanding platform for communities, gamers, students, and professionals. Voice chats are clear, servers are highly customizable, and it provides an excellent way to stay connected with friends and groups.",5,0,333.12 - Stable,2026-06-20 02:32:26,,,333.12 - Stable
